DATE,PRCP,SNWD,SNOW,TMAX,TMIN
20110217,0,2,0,63,46
20110218,0,0,0,67,46
20110219,0,0,0,54,23
20110220,0,0,0,40,21
20110221,0.34,3,3.2,37,24
20110222,0,3,0,36,16
20110223,0,2,0,40,21
20110224,0.05,0,0,44,30
20110225,1.32,0,0,57,34
20110226,0,0,0,43,31
20110227,0,0,0,50,38
20110228,0.44,0,0,60,40
20110301,0,0,0,46,33
20110302,0,0,0,53,25
20110303,0,0,0,33,20
20110304,0,0,0,41,27
20110305,0.01,0,0,61,41
20110306,2.02,0,0,54,50
20110307,0.08,0,0,53,34
20110308,0,0,0,48,29
20110309,0,0,0,45,34
20110310,1.07,0,0,53,38
20110311,0.91,0,0,55,40
20110312,0,0,0,56,38
20110313,0,0,0,53,41
20110314,0,0,0,45,37
20110315,0,0,0,47,34
20110316,0.56,0,0,57,38
20110317,0,0,0,65,44
20110318,0,0,0,77,51
20110319,0,0,0,59,38
20110320,0,0,0,51,34
20110321,0.44,0,0,45,36
20110322,0,0,0,50,40
20110323,0.87,0,0,40,32
20110324,0.09,1,1,44,30
20110325,0,0,0,42,28
20110326,0,0,0,40,26
20110327,0,0,0,45,28
20110328,0,0,0,45,26
20110329,0,0,0,49,31
20110330,0.01,0,0,53,36
20110331,0.13,0,0,43,37
20110401,0.18,0,0,44,35
20110402,0,0,0,55,38
20110403,0,0,0,58,42
20110404,0.06,0,0,63,43
20110405,0.16,0,0,67,41
20110406,0.09,0,0,55,38
20110407,0.02,0,0,52,42
20110408,0,0,0,49,42
20110409,0,0,0,58,40
20110410,0,0,0,56,46
20110411,0,0,0,81,50
20110412,1.09,0,0,72,45
20110413,0.38,0,0,50,43
20110414,0,0,0,69,48
20110415,0,0,0,56,41
20110416,1.45,0,0,55,41
20110417,0.33,0,0,61,50
20110418,0,0,0,63,47
20110419,0.03,0,0,53,47
20110420,0,0,0,65,45
20110421,0,0,0,63,43
20110422,0,0,0,51,40
20110423,0.75,0,0,61,43
20110424,0.5,0,0,80,54
20110425,0,0,0,75,56
20110426,0,0,0,83,54
20110427,0,0,0,75,61
20110428,0.31,0,0,72,61
20110429,0,0,0,69,54
20110430,0,0,0,67,50
20110501,0,0,0,69,50
20110502,0,0,0,63,50
20110503,0,0,0,75,55
20110504,0.5,0,0,64,46
20110505,0,0,0,65,46
20110506,0,0,0,72,50
20110507,0,0,0,72,55
20110508,0,0,0,74,52
20110509,0,0,0,71,54
20110510,0,0,0,75,53
20110511,0,0,0,71,52
20110512,0,0,0,74,52
20110513,0,0,0,67,52
20110514,0,0,0,64,57
20110515,0.89,0,0,69,58
20110516,0.17,0,0,62,53
20110517,0.67,0,0,60,52
20110518,2.18,0,0,67,54
20110519,0,0,0,75,60
20110520,0.24,0,0,64,57
20110521,0.07,0,0,78,55
20110522,0,0,0,58,54
20110523,0.1,0,0,67,55
20110524,0,0,0,81,66
20110525,0,0,0,84,65
20110526,0,0,0,78,64
20110527,0,0,0,83,65
20110528,0,0,0,84,67
20110529,0,0,0,82,67
20110530,0.29,0,0,86,70
20110531,0,0,0,89,69
20110601,0,0,0,90,69
20110602,0,0,0,80,62
20110603,0,0,0,76,57
20110604,0,0,0,75,59
20110605,0,0,0,70,56
20110606,0,0,0,81,60
20110607,0,0,0,87,66
20110608,0,0,0,94,73
20110609,0.07,0,0,95,69
20110610,0,0,0,87,70
20110611,0.55,0,0,72,59
20110612,0.05,0,0,74,58
20110613,0.05,0,0,73,60
20110614,0.05,0,0,72,58
20110615,0,0,0,83,56
20110616,0,0,0,84,62
20110617,1.82,0,0,76,64
20110618,0,0,0,83,64
20110619,0,0,0,83,69
20110620,0,0,0,81,67
20110621,0,0,0,82,70
20110622,0.27,0,0,80,71
20110623,0.26,0,0,71,66
20110624,0.03,0,0,70,65
20110625,0,0,0,80,64
20110626,0,0,0,79,66
20110627,0,0,0,82,66
20110628,0,0,0,83,72
20110629,0.1,0,0,82,69
20110630,0,0,0,82,65
20110701,0,0,0,83,63
20110702,0,0,0,86,68
20110703,0.84,0,0,74,69
20110704,0,0,0,86,70
20110705,0,0,0,87,70
20110706,0,0,0,89,73
20110707,0,0,0,92,74
20110708,0.4,0,0,85,68
20110709,0,0,0,88,67
20110710,0,0,0,86,68
20110711,0,0,0,91,74
20110712,0,0,0,93,78
20110713,0.11,0,0,86,69
20110714,0,0,0,84,64
20110715,0,0,0,87,66
20110716,0,0,0,90,70
20110717,0,0,0,91,72
20110718,0.11,0,0,95,75
20110719,0,0,0,94,75
20110720,0,0,0,89,75
20110721,0,0,0,97,75
20110722,0,0,0,104,84
20110723,0,0,0,100,83
20110724,0.03,0,0,91,78
20110725,0.32,0,0,80,68
20110726,0.14,0,0,90,69
20110727,0,0,0,84,68
20110728,0,0,0,87,71
20110729,1.08,0,0,84,71
20110730,0,0,0,91,74
20110731,0,0,0,91,71
20110801,0.02,0,0,94,71
20110802,0,0,0,91,73
20110803,0.76,0,0,88,67
20110804,0,0,0,84,67
20110805,0,0,0,86,70
20110806,0.19,0,0,85,72
20110807,0.16,0,0,89,73
20110808,0,0,0,90,74
20110809,2.09,0,0,83,71
20110810,0,0,0,86,70
20110811,0,0,0,82,69
20110812,0,0,0,84,64
20110813,0,0,0,85,69
20110814,5.81,0,0,72,67
20110815,0.56,0,0,77,68
20110816,0.02,0,0,78,65
20110817,0,0,0,86,66
20110818,0.07,0,0,83,67
20110819,1.24,0,0,84,65
20110820,0,0,0,85,64
20110821,0.67,0,0,84,70
20110822,0,0,0,77,65
20110823,0,0,0,79,61
20110824,0,0,0,80,67
20110825,0.49,0,0,78,72
20110826,0,0,0,83,71
20110827,2.88,0,0,78,71
20110828,3.99,0,0,75,65
20110829,0,0,0,77,59
20110830,0,0,0,82,61
20110831,0,0,0,85,63
20110901,0,0,0,83,66
20110902,0,0,0,78,65
20110903,0,0,0,83,66
20110904,0,0,0,86,72
20110905,0,0,0,81,72
20110906,3.22,0,0,75,60
20110907,1.21,0,0,68,62
20110908,0.9,0,0,79,63
20110909,0,0,0,84,67
20110910,0,0,0,80,68
20110911,0.01,0,0,71,64
20110912,0,0,0,80,66
20110913,0,0,0,82,67
20110914,0,0,0,85,70
20110915,0.07,0,0,76,53
20110916,0,0,0,65,51
20110917,0,0,0,65,53
20110918,0,0,0,68,53
20110919,0,0,0,68,52
20110920,0.06,0,0,68,61
20110921,0.06,0,0,73,63
20110922,0.02,0,0,80,68
20110923,2.61,0,0,73,69
20110924,0,0,0,76,70
20110925,0,0,0,80,70
20110926,0,0,0,80,68
20110927,0,0,0,77,69
20110928,0.11,0,0,74,68
20110929,0.4,0,0,73,61
20110930,0.72,0,0,76,58
20111001,0.39,0,0,67,50
20111002,0.06,0,0,64,50
20111003,0.05,0,0,58,48
20111004,0,0,0,63,49
20111005,0,0,0,71,53
20111006,0,0,0,67,47
20111007,0,0,0,66,48
20111008,0,0,0,77,54
20111009,0,0,0,84,60
20111010,0,0,0,81,61
20111011,0,0,0,73,62
20111012,0.45,0,0,63,58
20111013,0.34,0,0,66,58
20111014,1.02,0,0,70,57
20111015,0,0,0,65,54
20111016,0,0,0,66,54
20111017,0,0,0,65,57
20111018,0.01,0,0,68,54
20111019,1.12,0,0,62,60
20111020,0.01,0,0,67,54
20111021,0,0,0,56,50
20111022,0,0,0,60,47
20111023,0,0,0,59,50
20111024,0,0,0,61,50
20111025,0,0,0,62,50
20111026,0,0,0,62,51
20111027,0.63,0,0,61,38
20111028,0,0,0,49,36
20111029,2,0,2.9,45,33
20111030,0.01,0,0,46,33
20111031,0,0,0,53,37
20111101,0,0,0,55,45
20111102,0,0,0,57,42
20111103,0,0,0,59,46
20111104,0,0,0,53,41
20111105,0,0,0,49,36
20111106,0,0,0,54,38
20111107,0,0,0,62,45
20111108,0,0,0,68,53
20111109,0,0,0,65,51
20111110,0.02,0,0,67,47
20111111,0.02,0,0,48,41
20111112,0,0,0,57,39
20111113,0,0,0,61,47
20111114,0,0,0,69,54
20111115,0,0,0,65,58
20111116,0.73,0,0,59,53
20111117,0.07,0,0,53,40
20111118,0,0,0,46,36
20111119,0,0,0,51,38
20111120,0,0,0,65,49
20111121,0.12,0,0,59,46
20111122,1.16,0,0,50,43
20111123,0.46,0,0,53,39
20111124,0,0,0,54,37
20111125,0,0,0,61,46
20111126,0,0,0,65,50
20111127,0,0,0,63,47
20111128,0,0,0,70,56
20111129,0.47,0,0,66,51
20111130,0,0,0,52,43
20111201,0,0,0,50,37
20111202,0,0,0,52,39
20111203,0,0,0,47,37
20111204,0,0,0,55,42
20111205,0,0,0,59,47
20111206,0.2,0,0,62,56
20111207,1.68,0,0,62,42
20111208,0.16,0,0,45,36
20111209,0,0,0,52,36
20111210,0,0,0,46,32
20111211,0,0,0,39,29
20111212,0,0,0,44,33
20111213,0,0,0,47,32
20111214,0,0,0,50,36
20111215,0,0,0,59,47
20111216,0,0,0,59,41
20111217,0,0,0,42,31
20111218,0,0,0,31,22
20111219,0,0,0,47,28
20111220,0.01,0,0,48,41
20111221,0.11,0,0,62,42
20111222,0.06,0,0,58,48
20111223,0.75,0,0,49,35
20111224,0,0,0,36,29
20111225,0,0,0,46,31
20111226,0,0,0,45,38
20111227,1.02,0,0,57,38
20111228,0,0,0,50,31
20111229,0,0,0,38,24
20111230,0,0,0,51,37
20111231,0.01,0,0,54,46
20120101,0.05,0,0,52,41
20120102,0,0,0,50,33
20120103,0,0,0,33,15
20120104,0,0,0,27,13
20120105,0,0,0,40,27
20120106,0,0,0,53,35
20120107,0,0,0,62,46
20120108,0,0,0,46,33
20120109,0,0,0,41,31
20120110,0,0,0,47,33
20120111,0.07,0,0,48,37
20120112,1.38,0,0,45,41
20120113,0.09,0,0,50,28
20120114,0,0,0,32,27
20120115,0,0,0,27,15
20120116,0.04,0,0,37,15
20120117,0.19,0,0,53,36
20120118,0,0,0,54,24
20120119,0,0,0,37,20
20120120,0,0,0,36,24
20120121,0.39,1,4.3,29,22
20120122,0,3,0,34,18
20120123,0.37,2,0,53,34
20120124,0,0,0,53,42
20120125,0,0,0,44,36
20120126,0.18,0,0,40,33
20120127,0.47,0,0,59,40
20120128,0,0,0,46,38
20120129,0,0,0,44,34
20120130,0,0,0,40,34
20120131,0,0,0,59,38
20120201,0.03,0,0,62,48
20120202,0,0,0,50,35
20120203,0,0,0,44,30
20120204,0,0,0,46,35
20120205,0,0,0,40,32
20120206,0,0,0,51,33
20120207,0,0,0,49,38
20120208,0.01,0,0,38,31
20120209,0,0,0,46,31
20120210,0,0,0,45,34
20120211,0.08,0,0,38,32
20120212,0.01,0,0.2,32,20
20120213,0,0,0,44,28
20120214,0.02,0,0,47,36
20120215,0.01,0,0,46,39
20120216,0.19,0,0,44,36
20120217,0.03,0,0,50,41
20120218,0.02,0,0,48,35
20120219,0,0,0,44,35
20120220,0,0,0,46,31
20120221,0,0,0,46,32
20120222,0,0,0,57,43
20120223,0,0,0,58,46
20120224,0.6,0,0,46,36
20120225,0,0,0,45,33
20120226,0,0,0,45,29
20120227,0,0,0,59,36
20120228,0,0,0,50,40
20120229,0.37,0,0,42,38
20120301,0.13,0,0,41,37
20120302,0.16,0,0,42,33
20120303,0.12,0,0,56,42
20120304,0,0,0,45,36
20120305,0,0,0,44,28
20120306,0,0,0,44,25
20120307,0,0,0,62,37
20120308,0,0,0,71,53
20120309,0.02,0,0,64,37
20120310,0,0,0,43,29
20120311,0,0,0,61,36
20120312,0,0,0,71,47
20120313,0.04,0,0,74,54
20120314,0,0,0,70,50
20120315,0,0,0,52,43
20120316,0.03,0,0,51,43
20120317,0,0,0,62,45
20120318,0,0,0,64,46
20120319,0,0,0,74,55
20120320,0,0,0,73,55
20120321,0,0,0,67,57
20120322,0,0,0,78,56
20120323,0,0,0,76,58
20120324,0.01,0,0,65,47
20120325,0.06,0,0,52,45
20120326,0,0,0,54,34
20120327,0,0,0,51,30
20120328,0.02,0,0,67,44
20120329,0,0,0,61,43
20120330,0.11,0,0,57,40
20120331,0.26,0,0,43,38
20120401,0.51,0,0,52,42
20120402,0.04,0,0,57,40
20120403,0,0,0,64,40
20120404,0,0,0,68,47
20120405,0,0,0,58,42
20120406,0,0,0,59,38
20120407,0,0,0,61,40
20120408,0,0,0,67,44
20120409,0,0,0,64,49
20120410,0,0,0,60,45
20120411,0,0,0,53,43
20120412,0,0,0,61,43
20120413,0,0,0,65,43
20120414,0,0,0,72,50
20120415,0,0,0,77,58
20120416,0,0,0,88,65
20120417,0,0,0,78,61
20120418,0.01,0,0,62,49
20120419,0.04,0,0,70,47
20120420,0,0,0,71,54
20120421,0.22,0,0,71,54
20120422,2.45,0,0,54,46
20120423,0.22,0,0,54,42
20120424,0,0,0,59,41
20120425,0,0,0,62,43
20120426,0.03,0,0,61,45
20120427,0.04,0,0,56,41
20120428,0,0,0,60,38
20120429,0,0,0,63,44
20120430,0,0,0,62,43
20120501,0.62,0,0,68,51
20120502,0.08,0,0,53,50
20120503,0.47,0,0,58,50
20120504,0.1,0,0,73,54
20120505,0,0,0,63,56
20120506,0,0,0,65,53
20120507,0.01,0,0,65,52
20120508,0.04,0,0,66,55
20120509,0.33,0,0,69,57
20120510,0.19,0,0,64,52
20120511,0,0,0,68,49
20120512,0,0,0,78,53
20120513,0,0,0,81,63
20120514,0,0,0,70,63
20120515,0.54,0,0,65,61
20120516,0.09,0,0,78,61
20120517,0,0,0,72,53
20120518,0,0,0,72,54
20120519,0,0,0,80,53
20120520,0,0,0,78,57
20120521,1.4,0,0,62,57
20120522,0.23,0,0,70,60
20120523,0.03,0,0,75,64
20120524,0.95,0,0,66,62
20120525,0,0,0,75,60
20120526,0.02,0,0,84,67
20120527,0.06,0,0,81,64
20120528,0,0,0,89,71
20120529,0.21,0,0,89,68
20120530,0.01,0,0,76,68
20120531,0,0,0,79,66
20120601,0.25,0,0,74,62
20120602,0.39,0,0,75,61
20120603,0.01,0,0,76,58
20120604,0.18,0,0,63,54
20120605,0.01,0,0,64,51
20120606,0.01,0,0,72,54
20120607,0.01,0,0,78,58
20120608,0,0,0,81,60
20120609,0,0,0,78,64
20120610,0,0,0,84,66
20120611,0,0,0,77,64
20120612,1.02,0,0,72,65
20120613,0.32,0,0,69,64
20120614,0,0,0,77,62
20120615,0,0,0,80,60
20120616,0,0,0,80,60
20120617,0,0,0,73,58
20120618,0,0,0,72,57
20120619,0,0,0,77,63
20120620,0,0,0,94,70
20120621,0,0,0,94,79
20120622,0.35,0,0,90,70
20120623,0,0,0,84,69
20120624,0.06,0,0,84,66
20120625,0.15,0,0,74,62
20120626,0,0,0,72,58
20120627,0,0,0,81,62
20120628,0,0,0,88,68
20120629,0.21,0,0,93,68
20120630,0,0,0,93,77
20120701,0,0,0,94,74
20120702,0,0,0,88,72
20120703,0,0,0,89,71
20120704,0.06,0,0,92,70
20120705,0,0,0,95,77
20120706,0,0,0,93,72
20120707,0.5,0,0,97,72
20120708,0.09,0,0,92,72
20120709,0,0,0,86,73
20120710,0,0,0,87,69
20120711,0,0,0,85,71
20120712,0,0,0,89,70
20120713,0,0,0,89,74
20120714,0,0,0,85,73
20120715,0.26,0,0,89,71
20120716,0,0,0,91,70
20120717,0,0,0,96,74
20120718,1.76,0,0,100,73
20120719,0.02,0,0,76,68
20120720,0.58,0,0,72,61
20120721,0,0,0,78,61
20120722,0,0,0,83,65
20120723,0.15,0,0,86,71
20120724,0,0,0,91,74
20120725,0,0,0,85,67
20120726,0.6,0,0,88,68
20120727,0,0,0,87,71
20120728,0.18,0,0,81,68
20120729,0.01,0,0,80,68
20120730,0,0,0,81,68
20120731,0,0,0,80,70
20120801,0.64,0,0,78,70
20120802,0,0,0,87,70
20120803,0,0,0,89,75
20120804,0,0,0,90,75
20120805,0.22,0,0,91,73
20120806,0.01,0,0,86,72
20120807,0,0,0,83,68
20120808,0,0,0,86,73
20120809,0,0,0,88,73
20120810,0.24,0,0,80,70
20120811,0,0,0,87,75
20120812,0,0,0,87,73
20120813,0,0,0,86,69
20120814,0.01,0,0,79,72
20120815,0.57,0,0,82,67
20120816,0,0,0,85,66
20120817,0.15,0,0,88,65
20120818,0.32,0,0,79,63
20120819,0,0,0,74,62
20120820,0,0,0,78,65
20120821,0,0,0,82,66
20120822,0,0,0,82,68
